10.34,105.08,0.73
9.04,105.08,0.73
10.53,104.59,0.73
10.43,104.59,0.73
10.66,105.08,0.73
10.69,104.59,0.73
10.76,104.59,0.73
10.82,104.59,0.72
10.82,104.59,0.73
10.24,105.08,0.73
10.21,105.08,0.73
10.34,105.08,0.73
10.82,104.59,0.73
10.85,104.59,0.73
10.95,104.59,0.73
10.95,104.59,0.74
10.95,104.59,0.74
10.89,104.59,0.74
10.85,104.59,0.74
10.79,105.08,0.74
10.79,104.59,0.75
10.72,104.59,0.74
10.69,105.08,0.75
10.69,104.59,0.75
10.63,104.59,0.75
10.56,104.59,0.76
10.50,104.59,0.76
10.43,104.59,0.76
10.40,104.59,0.76
10.40,104.59,0.78
10.37,104.59,0.78
10.34,104.59,0.78
10.34,104.59,0.78
10.30,104.59,0.78
10.30,104.59,0.79
10.27,104.59,0.79
10.24,105.08,0.79
10.24,104.59,0.79
10.24,104.59,0.79
10.27,105.08,0.79
10.27,105.08,0.80
10.27,104.59,0.80
10.24,104.59,0.80
10.24,104.59,0.81
10.21,104.59,0.80
10.21,105.08,0.81
10.21,104.59,0.81
10.18,104.59,0.81
10.18,105.08,0.82
10.15,105.08,0.82
10.18,105.08,0.82
10.18,104.59,0.82
10.18,105.08,0.82
10.21,104.59,0.82
10.21,104.59,0.84
10.24,104.59,0.84
10.21,105.08,0.84
10.24,105.08,0.84
10.21,105.08,0.84
10.24,105.08,0.85
10.24,105.08,0.85
10.27,104.59,0.85
10.27,105.08,0.85
10.27,105.08,0.85
10.30,105.08,0.86
10.27,104.59,0.86
10.30,105.08,0.86
10.30,104.59,0.86
10.37,105.08,0.86
10.37,105.08,0.86
10.30,104.59,0.88
10.21,105.08,0.88
9.93,105.08,0.88
9.13,105.08,0.88
